10	0.25	5354
10	0.5	6179
10	0.75	6560
10	1	7013
50	0.25	151297
50	0.5	220824
50	0.75	259504
50	1	275780
100	0.25	815492
100	0.5	1168361
100	0.75	1497067
100	1	1756576
500	0.25	84165866
500	0.5	154544556
500	0.75	218744728
500	1	280118539
1000	0.25	729310197
1000	0.5	1455881777
1000	0.75	2113668076
1000	1	2741257722
